canton_name,Number_of_outpatient_consultations,"Number_of_care_days_(inpatient,_without_discharge_day",Number_of_healthy_newborns_(inpatient_treatment),Number_of_operating_rooms,Number_of_delivery_rooms,MRI,CT,PET,CC,LB,Lito,Angio,Dia,Physicians,physicians in training,Nursing staff,Other medical personnel,Total staff,"MRI, outpatient","MRI, inpatient","CT, outpatient","CT, inpatient","Angiography, outpatient","Angiography, inpatient","Dialysis, outpatient","Dialysis, inpatient"
Aargau,6240728.0,4015748.0,24696.0,232.0,84.0,28.0,32.0,8.0,8.0,12.0,8.0,12.0,16.0,6770.94,2870.1,19943.58,8724.0,50359.94,67644.2,10657.1,71010.9,53184.73333333334,3254.166666666666,6733.166666666666,4054.6013591671485,1531.9133892423372
Appenzell Ausserrhoden,288484.0,626512.0,3972.0,64.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,578.98,241.76,2199.08,956.46,5673.76,0.0,0.0,1542.0,1954.0,446.0,10.0,1074.727272727272,59.2727272727272
Appenzell Innerrhoden,23788.0,38480.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.94,0.0,123.92,135.7,881.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basel-Landschaft,1883800.0,1100868.0,2616.0,128.0,28.0,8.0,8.0,4.0,4.0,0.0,0.0,4.0,4.0,2294.7599999999998,994.92,6138.46,2923.76,16172.02,31458.0,2498.0,13832.0,7563.5,521.4,1269.7,1351.9459459459458,110.43243243243239
Basel-Stadt,5000844.0,2545984.0,17192.0,236.0,60.0,20.0,28.0,8.0,8.0,8.0,0.0,12.0,8.0,6407.38,2808.56,16098.039999999999,6718.2,41974.6,60204.2,13596.6,54480.99999999998,35646.666666666664,616.3333333333339,3616.0,5938.214285714286,272.70000000000005
Bern,9080136.0,6045852.0,38924.0,560.0,184.0,48.0,44.0,4.0,12.0,8.0,12.0,32.0,40.0,13186.84,5800.4800000000005,37027.8,13156.68,91692.26,111284.46666666666,11616.399999999998,102128.19047619047,59828.54761904761,27080.654545454545,11638.327272727274,13694.616908170337,888.4227267206645
Fribourg,2164912.0,980552.0,9816.0,96.0,40.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2420.6,143.07999999999998,6314.38,1519.06,14277.08,8560.66666666666,2383.333333333334,9638.8,7106.0,3676.0,3404.0,1393.333333333334,73.0
Genève,5954936.0,2804558.0,20752.0,292.0,100.0,16.0,16.0,12.0,12.0,12.0,12.0,16.0,8.0,8108.2,4221.28,23449.62,5452.24,54400.36,33604.888888888876,3518.3333333333335,44597.66666666666,16747.66666666668,5632.333333333334,5966.0,4262.251231527094,782.5000000000006
Glarus,321216.0,172580.0,1148.0,16.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,303.42,90.36,791.56,374.46,2176.58,16232.0,1748.0,10272.0,6006.0,1424.0,150.0,1771.5,112.0
Graubünden,2779302.0,1206384.0,7055.0,122.0,65.0,24.0,29.0,4.0,4.0,4.0,4.0,8.0,12.0,2493.28,903.66,6157.4,2565.3,16962.98,55605.0,8347.0,58017.0,44164.0,22018.0,9704.0,2990.680701754388,118.09122807017555
