canton_name,hospital,Hospital_type,Number_of_outpatient_consultations,"Number_of_care_days_(inpatient,_without_discharge_day",Number_of_healthy_newborns_(inpatient_treatment),Number_of_operating_rooms,Number_of_delivery_rooms,MRI,CT,PET,CC,LB,Lito,Angio,Dia,Physicians,physicians in training,Nursing staff,Other medical personnel,Total staff,"MRI, outpatient","MRI, inpatient","CT, outpatient","CT, inpatient","Angiography, outpatient","Angiography, inpatient","Dialysis, outpatient","Dialysis, inpatient",City,lat,lng
Aargau,Kantonsspital Aarau AG,Hospital lvl2,541775.0,145106.0,1876.0,19.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,658.85,252.1,1452.22,559.56,3601.46,2791.5,892.5,3596.0,3231.66666666667,465.5,653.5,278.894736842105,17.5789473684211,Aarau,47.3923,8.0446
Aargau,Kantonsspital Aarau AG,Hospital lvl2,541775.0,145106.0,1876.0,19.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,658.85,252.1,1452.22,559.56,3601.46,2783.0,929.25,2628.75,2417.5,227.25,293.75,298.087719298246,11.6666666666667,Aarau,47.3923,8.0446
Aargau,Kantonsspital Aarau AG,Hospital lvl2,541775.0,145106.0,1876.0,19.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,665.14,302.06,1416.3,509.1,3647.73,2791.5,892.5,3596.0,3231.66666666667,465.5,653.5,278.894736842105,17.5789473684211,Aarau,47.3923,8.0446
Aargau,Kantonsspital Aarau AG,Hospital lvl2,541775.0,145106.0,1876.0,19.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,665.14,302.06,1416.3,509.1,3647.73,2783.0,929.25,2628.75,2417.5,227.25,293.75,298.087719298246,11.6666666666667,Aarau,47.3923,8.0446
Aargau,Kantonsspital Baden AG,Hospital lvl2,251186.0,112321.0,1488.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.65,180.66,847.2,270.38,2139.44,2846.6,535.2,3817.0,2561.8,299.5,630.0,14.1190476190476,449.047619047619,Baden,47.4729,8.308
Aargau,Kantonsspital Baden AG,Hospital lvl2,251186.0,112321.0,1488.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.65,180.66,847.2,270.38,2139.44,2822.0,516.6,3930.2,2911.4,346.5,695.0,409.785714285714,18.3333333333333,Baden,47.4729,8.308
Aargau,Kantonsspital Baden AG,Hospital lvl2,251186.0,112321.0,1488.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,395.39,189.45,868.87,285.03,2241.15,2846.6,535.2,3817.0,2561.8,299.5,630.0,14.1190476190476,449.047619047619,Baden,47.4729,8.308
Aargau,Kantonsspital Baden AG,Hospital lvl2,251186.0,112321.0,1488.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,395.39,189.45,868.87,285.03,2241.15,2822.0,516.6,3930.2,2911.4,346.5,695.0,409.785714285714,18.3333333333333,Baden,47.4729,8.308
Aargau,Hirslanden Klinik Aarau,Hospital lvl2,50917.0,44022.0,698.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,14.12,7.21,354.49,90.53,600.63,3543.5,320.0,1817.0,995.5,96.0,457.0,250.833333333333,9.0,Aarau,47.3923,8.0446
Aargau,Hirslanden Klinik Aarau,Hospital lvl2,50917.0,44022.0,698.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,14.12,7.21,354.49,90.53,600.63,3316.0,286.0,1696.5,1058.5,192.333333333333,637.333333333333,9.66666666666667,249.666666666667,Aarau,47.3923,8.0446
